pn,sentence_num,sentence,true_cue_p,predicted_cue_p,error
3,0.0,"Okay, I'm trying to figure out what Ashford's article is addressing.",0.82,0.81982421875,0.00017578124999995115
3,1.0,The options are A through D.,0.86,0.8603515625,-0.0003515625000000133
3,2.0,Let me break down each choice.,0.96,0.9599609375,3.906249999996447e-05
3,3.0,Option A talks about the sheer scope of global poverty.,0.96,0.9599609375,3.906249999996447e-05
3,4.0,"That's a big issue, but I'm not sure if that's what Ashford is focusing on.",0.96,0.9599609375,3.906249999996447e-05
3,5.0,He might be addressing a more specific problem.,1.0,1.0,0.0
3,6.0,Option B is about choosing between immediate harm and structural injustice.,1.0,1.0,0.0
3,7.0,"This seems like a common ethical dilemma—whether to fix an immediate problem or tackle deeper, systemic issues.",1.0,0.9995218912760416,0.00047810872395837034
3,8.0,That feels relevant.,1.0,1.0,0.0
3,9.0,Option C mentions reconciling conflicting moral theories.,1.0,1.0,0.0
3,10.0,That's a bit abstract and might be more about theoretical discussions rather than a practical paralysis.,1.0,1.0,0.0
3,11.0,Option D refers to giving up wealth based on Singer's arguments.,1.0,1.0,0.0
3,12.0,"Singer's utilitarian views are about giving as much as possible, but I'm not sure if that's the main issue Ashford is addressing.",1.0,1.0,0.0
18,0.0,"Okay, so I need to figure out this real property question.",0.2653061224489796,0.265380859375,-7.473692602039117e-05
18,1.0,Let's start by understanding what the question is asking.,0.36000000000000004,0.3603515625,-0.0003515624999999578
18,2.0,A farmer conveyed 100 acres to a landscaper.,0.3265306122448979,0.326416015625,0.00011459661989787762
18,3.0,"The deed had three covenants: seisin, right to convey, and against encumbrances.",0.32,0.320068359375,-6.835937499999334e-05
18,4.0,"Then, the landscaper conveyed the property to a buyer using a warranty deed.",0.3,0.300048828125,-4.88281250000111e-05
18,5.0,"Later, the buyer was evicted because of a paramount title.",0.28,0.280029296875,-2.9296874999973355e-05
18,6.0,"Now, the buyer is suing the farmer for breach of the covenants in the deed.",0.22,0.219970703125,2.929687500000111e-05
18,7.0,The question is about who should win the judgment.,0.36000000000000004,0.3598276774088542,0.00017232259114585702
18,8.0,"First, I remember that covenants in a deed can be either personal or real covenants.",0.3469387755102041,0.346923828125,1.4947385204078234e-05
18,9.0,"Personal covenants don't run with the land, while real covenants do.",0.42,0.419921875,7.812499999998446e-05
18,10.0,"The key here is whether these covenants run with the land, which would allow the buyer to sue the original grantor (the farmer) even though the buyer is not in privity with the farmer.",0.48,0.47998046875,1.9531249999982236e-05
18,11.0,Looking at the covenants:,0.7200000000000001,0.72021484375,-0.00021484374999991562
18,12.0,1. Seisin: This covenant ensures that the grantor actually owns the property.,0.7346938775510204,0.7353515625,-0.0006576849489795533
18,13.0,It's a real covenant because it's about the title and can run with the land.,0.7755102040816326,0.775390625,0.00011957908163262587
18,14.0,2. Right to Convey: This covenant is about the grantor's authority to transfer the property.,0.7799999999999999,0.77978515625,0.00021484374999991562
18,15.0,I think this is also a real covenant because it relates to the title and can benefit subsequent owners.,0.7399999999999999,0.740234375,-0.0002343750000001199
