problem_number,sentence_number,sentence,true_cue_p,delta_cue_p
3,0,"Okay, I'm trying to figure out what Ashford's article is addressing.",0.82,0.82
288,11,"So the negotiation part is something the president can do on their own, which might fall under inherent powers because it's part of the executive function without needing congressional approval first.",0.96,0.82
972,11,"So the negotiation part is something the president can do on their own, which might fall under inherent powers because it's part of the executive function without needing congressional approval first.",0.96,0.82
375,0,"Okay, I'm trying to figure out what Ashford's article is addressing.",0.82,0.82
59,4,"I think that song has a very distinctive sound, and I believe it's the accordion that's playing the main melody.",1.0,0.76
715,21,"But in common language, when someone refers to land, they often mean the physical surface, including real estate.",0.7600000000000001,0.7200000000000001
145,9,"The other dimension, I believe, is about the relationship between the customer and the company.",0.7799999999999999,0.72
68,0,"Okay, so I have this question here asking which Christian denomination promotes a stripped-down Christianity.",0.68,0.68
371,0,"Okay, so I need to figure out which answer is correct for the question about Hare's assertion on the similarities between ethics and science.",0.68,0.68
684,0,"Okay, so I have this question about what a sect is organized around, and I need to figure out the correct answer.",0.66,0.66
62,2,"First, Scenario 1: ""I am way too sleepy to drive safely, so I'll buckle up my twins first."" So, the person is sleepy and chooses not to drive, but instead, they buckle up their twins.",0.94,0.6399999999999999
804,0,"Alright, so I'm trying to figure out which answer is correct for the question about the Voting Rights Act of 1965.",0.62,0.62
827,0,"Okay, so I need to figure out what the core of the absolutist position is according to Nagel.",0.62,0.62
309,0,"Okay, so I'm trying to figure out which value Arthur believes is more fundamental than rights and desert.",0.56,0.56
339,0,"Okay, so I'm trying to figure out whether Dr.",0.56,0.56
399,0,"Okay, so I need to figure out which factor has the strongest influence on learning in people with antisocial personalities.",0.54,0.54
700,21,That's a strong argument because relevance is key in evidence law.,0.9,0.52
408,0,"Okay, so I'm trying to figure out which of these statements about the consequences of an adaptive metabolic demand on protein requirements is correct.",0.46,0.46
324,7,Looking at the options:,0.84,0.42
277,7,Looking at the options:,0.84,0.42
339,10,"Well, in the healthcare field, it's standard to have cancellation policies to manage their schedules and compensate for the lost time.",0.96,0.41999999999999993
408,10,That sounds familiar.,0.98,0.41999999999999993
768,11,"Maybe they're done during the planning phase, but I'm not sure if that's the primary step here.",0.7799999999999999,0.41999999999999993
212,22,"- A, B, and D all relate to internal threats: either from non-state actors (criminal gangs, warlords) or from competition among powerful individuals within the state.",0.48,0.39999999999999997
819,22,"- A, B, and D all relate to internal threats: either from non-state actors (criminal gangs, warlords) or from competition among powerful individuals within the state.",0.48,0.39999999999999997
700,15,But I'm not sure if this is the strongest argument here.,0.62,0.38
37,11,"Multiple approach-avoidance conflicts involve multiple aspects, where different features of the same situation have both positive and negative attributes.",0.66,0.38
