layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
0,0,1.0,0.16666666666666666,30,24,6
0,1,1.0,0.3333333333333333,30,24,6
0,2,1.0,0.3333333333333333,30,24,6
0,3,1.0,0.6666666666666666,29,23,6
1,0,1.0,0.3333333333333333,30,24,6
1,1,1.0,0.3333333333333333,30,24,6
1,2,1.0,0.3333333333333333,30,24,6
1,3,1.0,0.6666666666666666,29,23,6
2,0,1.0,0.3333333333333333,30,24,6
2,1,1.0,0.3333333333333333,30,24,6
2,2,1.0,0.3333333333333333,30,24,6
2,3,1.0,0.6666666666666666,29,23,6
3,0,1.0,0.3333333333333333,30,24,6
3,1,1.0,0.3333333333333333,30,24,6
3,2,1.0,0.3333333333333333,30,24,6
3,3,1.0,0.6666666666666666,29,23,6
4,0,1.0,0.3333333333333333,30,24,6
4,1,1.0,0.3333333333333333,30,24,6
4,2,1.0,0.3333333333333333,30,24,6
4,3,1.0,0.6666666666666666,29,23,6
5,0,1.0,0.3333333333333333,30,24,6
5,1,1.0,0.5,30,24,6
5,2,1.0,0.3333333333333333,30,24,6
5,3,1.0,0.6666666666666666,29,23,6
6,0,1.0,0.3333333333333333,30,24,6
6,1,1.0,0.6666666666666666,30,24,6
6,2,1.0,0.3333333333333333,30,24,6
6,3,1.0,0.6666666666666666,29,23,6
7,0,1.0,0.3333333333333333,30,24,6
7,1,1.0,0.3333333333333333,30,24,6
7,2,1.0,0.3333333333333333,30,24,6
7,3,1.0,0.6666666666666666,29,23,6
8,0,1.0,0.3333333333333333,30,24,6
8,1,1.0,0.3333333333333333,30,24,6
8,2,1.0,0.3333333333333333,30,24,6
8,3,1.0,0.6666666666666666,29,23,6
9,0,1.0,0.3333333333333333,30,24,6
9,1,1.0,0.3333333333333333,30,24,6
9,2,1.0,0.3333333333333333,30,24,6
9,3,1.0,0.6666666666666666,29,23,6
10,0,1.0,0.16666666666666666,30,24,6
10,1,1.0,0.3333333333333333,30,24,6
10,2,1.0,0.3333333333333333,30,24,6
10,3,1.0,0.8333333333333334,29,23,6
11,0,1.0,0.3333333333333333,30,24,6
11,1,1.0,0.3333333333333333,30,24,6
11,2,1.0,0.3333333333333333,30,24,6
11,3,1.0,0.6666666666666666,29,23,6
12,0,1.0,0.3333333333333333,30,24,6
12,1,1.0,0.3333333333333333,30,24,6
12,2,1.0,0.3333333333333333,30,24,6
12,3,1.0,0.6666666666666666,29,23,6
13,0,1.0,0.3333333333333333,30,24,6
13,1,1.0,0.3333333333333333,30,24,6
13,2,1.0,0.3333333333333333,30,24,6
13,3,1.0,0.6666666666666666,29,23,6
