problem_index,problem_pn,component_type,layer,head,component_name,baseline_steering,ablated_steering,steering_change,steering_drop,answer_letters
18,145,mlp,47,-1,L47_MLP,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,mlp,37,-1,L37_MLP,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,mlp,41,-1,L41_MLP,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,mlp,32,-1,L32_MLP,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,41,5,L41H5,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,35,10,L35H10,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,41,26,L41H26,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,44,13,L44H13,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,41,31,L41H31,0.3,0.0,-0.3,0.3,-AAAAAAAAA
18,145,attn_head,41,15,L41H15,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,35,16,L35H16,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,44,2,L44H2,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,39,37,L39H37,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,38,1,L38H1,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,47,15,L47H15,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,47,5,L47H5,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,33,12,L33H12,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,33,24,L33H24,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,36,34,L36H34,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,42,23,L42H23,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,35,31,L35H31,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,36,36,L36H36,0.3,0.0,-0.3,0.3,AAAAAAAAAA
18,145,attn_head,47,9,L47H9,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAACAAAA
18,145,attn_head,47,25,L47H25,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAACAAAAA
18,145,attn_head,37,10,L37H10,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAACAAAAA
18,145,attn_head,47,30,L47H30,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAACAAA
18,145,attn_head,47,38,L47H38,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAACAAA
18,145,attn_head,39,7,L39H7,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAACAAAAAA
18,145,attn_head,38,29,L38H29,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAACAAAAAA
18,145,attn_head,39,5,L39H5,0.3,0.1,-0.19999999999999998,0.19999999999999998,ACAAAAAAAA
18,145,attn_head,33,0,L33H0,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAAACA
18,145,attn_head,45,6,L45H6,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAACAAAA
18,145,attn_head,34,24,L34H24,0.3,0.1,-0.19999999999999998,0.19999999999999998,CAAAAAAAAA
18,145,attn_head,34,7,L34H7,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAACAAA
18,145,attn_head,34,4,L34H4,0.3,0.1,-0.19999999999999998,0.19999999999999998,AACAAAAAAA
18,145,attn_head,45,21,L45H21,0.3,0.1,-0.19999999999999998,0.19999999999999998,ACAAAAAAAA
18,145,attn_head,34,21,L34H21,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAACAAA
18,145,attn_head,34,6,L34H6,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAACAA
18,145,attn_head,45,36,L45H36,0.3,0.1,-0.19999999999999998,0.19999999999999998,ACAAAAAAAA
18,145,attn_head,41,23,L41H23,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAACAAA
18,145,attn_head,41,34,L41H34,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAACAA
18,145,attn_head,45,16,L45H16,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAACAA
18,145,attn_head,45,32,L45H32,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAACAAAAA
18,145,attn_head,45,8,L45H8,0.3,0.1,-0.19999999999999998,0.19999999999999998,CAAAAAAAAA
18,145,attn_head,47,34,L47H34,0.3,0.1,-0.19999999999999998,0.19999999999999998,CAAAAAAAAA
18,145,attn_head,32,6,L32H6,0.3,0.1,-0.19999999999999998,0.19999999999999998,ACAAAAAAAA
18,145,attn_head,47,7,L47H7,0.3,0.1,-0.19999999999999998,0.19999999999999998,-AAAAAACAA
18,145,attn_head,39,6,L39H6,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAAAAC
18,145,attn_head,32,2,L32H2,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAACAAAA
18,145,mlp,43,-1,L43_MLP,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAA-AACA
18,145,attn_head,32,4,L32H4,0.3,0.1,-0.19999999999999998,0.19999999999999998,AACAAAAA-A
18,145,mlp,38,-1,L38_MLP,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAACAAAA
18,145,mlp,45,-1,L45_MLP,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAACAAAAA
18,145,attn_head,46,39,L46H39,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAAACA
18,145,attn_head,32,24,L32H24,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAAACA
18,145,attn_head,44,12,L44H12,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAACAAAAAA
18,145,attn_head,44,26,L44H26,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAACAAAAA
18,145,attn_head,45,1,L45H1,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAAAAC
18,145,attn_head,35,5,L35H5,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAACAA
18,145,attn_head,34,27,L34H27,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAACAA
18,145,attn_head,35,15,L35H15,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAACAAAAAA
18,145,attn_head,36,22,L36H22,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAACAAAA
18,145,attn_head,41,33,L41H33,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAAAAC
18,145,attn_head,41,14,L41H14,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAAAAAACA
18,145,attn_head,37,6,L37H6,0.3,0.1,-0.19999999999999998,0.19999999999999998,CAAAAAAAAA
18,145,attn_head,37,15,L37H15,0.3,0.1,-0.19999999999999998,0.19999999999999998,AAAACAAAAA
