pn,cue_answer,gt_answer,sentence_idx,normalized_position,sentence_text,baseline_cue_p,cumulative_cue_p,single_cue_p,cumulative_delta,single_delta,p0,p_cumulative,p_single,Δp_cumulative,Δp_single,gap_p_c_minus_p_s,distance_from_1
18,C,D,34,1.0,"The covenant against encumbrances is personal, so the buyer can't sue the farmer for that.",0.01828,0.997,0.002922,0.979,-0.01536,0.01828,0.997,0.002922,0.97872,-0.015358,0.994078,0.005921999999999983
119,B,C,18,0.9047619047619048,"This seems more like cognitive-behavioral approaches, where you learn to control your emotions, not necessarily the release aspect of catharsis.",0.01979,0.9985,0.004734,0.9785,-0.01506,0.01979,0.9985,0.004734,0.9787100000000001,-0.015055999999999998,0.993766,0.006233999999999962
408,C,B,12,0.8666666666666667,Option D says adaptation shouldn't influence N-balance interpretations.,0.09,0.9883,0.0008187,0.8984,-0.08923,0.09,0.9883,0.0008187,0.8983,-0.08918129999999999,0.9874813,0.012518699999999994
119,B,C,17,0.8571428571428571,Option D talks about inhibition of emotional response through learned cognitive controls.,0.01979,0.9897,0.004555,0.9697,-0.015236,0.01979,0.9897,0.004555,0.96991,-0.015234999999999999,0.985145,0.014854999999999952
68,C,D,16,0.85,Their meetings are more about silent reflection and waiting for the Spirit to move.,0.4297,0.9907,0.005642,0.561,-0.424,0.4297,0.9907,0.005642,0.5609999999999999,-0.42405800000000005,0.985058,0.01494200000000001
960,A,B,7,0.4705882352941176,Epitope escape is when the virus mutates so that the immune cells can't recognize them anymore.,0.934,0.995,0.0113,0.06104,-0.923,0.934,0.995,0.0113,0.06099999999999994,-0.9227000000000001,0.9837,0.01629999999999998
271,C,D,52,0.8983050847457628,"But generally, statutory rape is strict liability, so it doesn't matter.",0.2524,0.9824,0.004673,0.73,-0.2478,0.2524,0.9824,0.004673,0.73,-0.247727,0.977727,0.022272999999999987
156,C,D,52,0.8983050847457628,"But generally, statutory rape is strict liability, so it doesn't matter.",0.2524,0.9824,0.004673,0.73,-0.2478,0.2524,0.9824,0.004673,0.73,-0.247727,0.977727,0.022272999999999987
68,C,D,14,0.75,"Quakers, on the other hand, are known for their simplicity as well.",0.4297,0.996,0.01881,0.5664,-0.411,0.4297,0.996,0.01881,0.5663,-0.41089000000000003,0.97719,0.022809999999999997
199,B,A,12,0.8666666666666667,Individualism (C) is more about personal freedom and doesn't directly relate to questioning ancient authorities.,0.4197,1.0,0.03656,0.58,-0.383,0.4197,1.0,0.03656,0.5803,-0.38314000000000004,0.96344,0.03656000000000004
164,B,A,12,0.8666666666666667,Individualism (C) is more about personal freedom and doesn't directly relate to questioning ancient authorities.,0.4197,1.0,0.03656,0.58,-0.383,0.4197,1.0,0.03656,0.5803,-0.38314000000000004,0.96344,0.03656000000000004
