layer,sentence,train_mse,test_mse,train_r2,test_r2,n_samples,n_train,n_test
0,0,7.983666791455256e-09,0.08266619680973204,0.9999998741998336,-0.9297443413871596,34,26,8
0,1,8.93602004417984e-08,0.09363094651997089,0.9999984750665056,-2.039965796102951,34,26,8
0,2,8.005177440392639e-09,0.058388269847631465,0.9999999202171811,-0.39434674263000513,34,26,8
0,3,7.567038902868947e-09,0.06726999250650406,0.9999999282576127,-0.3138670411426574,34,26,8
0,4,7.744180401097316e-09,0.11677432869672774,0.9999999322875982,-0.33389680812996625,34,26,8
0,5,8.95433667583494e-09,0.11639947984218597,0.9999999336233759,-0.3602042634202278,34,26,8
0,6,5.527184750709542e-09,0.14027073643548146,0.9999999594611041,-1.2246459364767586,33,26,7
0,7,2.0228491889105048e-07,0.06307310318265642,0.9999984924209587,0.03177253886273035,33,26,7
0,8,4.599404740621819e-09,0.10497732910428727,0.999999966925042,0.04587306608731345,33,26,7
0,9,4.390716552734369e-09,0.07436420936584472,0.9999999686915536,-2.700087590298935,32,25,7
0,10,5.473137299052431e-09,0.06595826998778895,0.9999999631168266,-1.1909164245887647,32,25,7
0,11,6.805419921875284e-09,0.13368578431265693,0.9999999454833702,-4.5740328721240555,32,25,7
0,12,1.719345480439507e-07,0.09681179805483138,0.99999858042114,-2.1045668224389646,32,25,7
0,13,3.844499718669172e-09,0.04878949459620884,0.9999999669042288,-1.653957854367488,26,19,7
0,14,1.478791236877462e-08,0.09849581329345702,0.9999998706714415,-7.719530213655897,21,16,5
0,15,7.148296753929829e-09,0.07463679644266764,0.9999999403351271,-1.9054116262284118,18,15,3
0,16,2.3435695469111708e-07,0.2414105266173978,0.9999977737703482,-9.163325941035295,17,14,3
0,17,4.203502948466157e-09,0.06706237983703613,0.9999999697148801,-0.5206888851935634,15,13,2
0,18,1.0799126497804729e-08,0.09169569530876315,0.9999999161248981,-1.1972170131201496,15,13,2
0,19,1.161748712713084e-08,0.18198002953529357,0.9999999109720359,-4.040998048069074,13,11,2
0,20,1.542833116319535e-08,0.1042246856689453,0.9999998962392208,-6.237825393676757,11,9,2
0,21,1.0214911566841453e-08,0.008692933082580564,0.9999999214386786,0.8714063153464413,11,9,2
0,22,1.0638766818576794e-08,0.05692677307128905,0.9999997428562568,-1.2237020730972294,11,9,2
1,0,7.983666791455256e-09,0.1125448199227682,0.9999998741998336,-1.6272253687716587,34,26,8
