layer,sentence,pn,split
0,0,684,train
0,0,700,train
0,0,715,train
0,0,768,train
0,0,819,train
0,0,827,train
0,0,960,train
0,0,972,train
0,0,3,train
0,0,18,train
0,0,26,train
0,0,37,train
0,0,62,train
0,0,68,train
0,0,119,train
0,0,164,train
0,0,199,train
0,0,212,train
0,0,277,train
0,0,288,train
0,0,295,train
0,0,309,train
0,0,324,train
0,0,371,train
0,0,375,train
0,0,408,train
0,0,804,test
0,0,877,test
0,0,59,test
0,0,121,test
0,0,145,test
0,0,215,test
0,0,339,test
0,0,399,test
0,1,684,train
0,1,700,train
0,1,715,train
0,1,768,train
0,1,819,train
0,1,827,train
0,1,960,train
0,1,972,train
0,1,3,train
0,1,18,train
0,1,26,train
0,1,37,train
0,1,62,train
0,1,68,train
0,1,119,train
0,1,164,train
0,1,199,train
0,1,212,train
0,1,277,train
0,1,288,train
0,1,295,train
0,1,309,train
0,1,324,train
0,1,371,train
0,1,375,train
0,1,408,train
0,1,804,test
0,1,877,test
0,1,59,test
0,1,121,test
0,1,145,test
0,1,215,test
0,1,339,test
0,1,399,test
0,2,684,train
0,2,700,train
0,2,715,train
0,2,768,train
0,2,819,train
0,2,827,train
0,2,960,train
0,2,972,train
0,2,3,train
0,2,18,train
0,2,26,train
0,2,37,train
0,2,62,train
0,2,68,train
0,2,119,train
0,2,164,train
0,2,199,train
0,2,212,train
0,2,277,train
0,2,288,train
0,2,295,train
0,2,309,train
0,2,324,train
0,2,371,train
0,2,375,train
0,2,408,train
0,2,804,test
0,2,877,test
0,2,59,test
0,2,121,test
0,2,145,test
0,2,215,test
0,2,339,test
0,2,399,test
0,3,684,train
0,3,700,train
0,3,715,train
0,3,768,train
0,3,819,train
0,3,827,train
0,3,960,train
0,3,972,train
0,3,3,train
0,3,18,train
0,3,26,train
0,3,37,train
0,3,62,train
0,3,68,train
0,3,119,train
0,3,164,train
0,3,199,train
0,3,212,train
0,3,277,train
0,3,288,train
0,3,295,train
0,3,309,train
0,3,324,train
0,3,371,train
0,3,375,train
0,3,408,train
0,3,804,test
0,3,877,test
0,3,59,test
0,3,121,test
0,3,145,test
0,3,215,test
0,3,339,test
0,3,399,test
0,4,684,train
0,4,700,train
0,4,715,train
0,4,768,train
0,4,819,train
0,4,827,train
0,4,960,train
0,4,972,train
0,4,3,train
0,4,18,train
0,4,26,train
0,4,37,train
0,4,62,train
0,4,68,train
0,4,119,train
0,4,164,train
0,4,199,train
0,4,212,train
0,4,277,train
0,4,288,train
0,4,295,train
0,4,309,train
0,4,324,train
0,4,371,train
0,4,375,train
0,4,408,train
0,4,804,test
0,4,877,test
0,4,59,test
0,4,121,test
0,4,145,test
0,4,215,test
0,4,339,test
0,4,399,test
0,5,684,train
0,5,700,train
0,5,715,train
0,5,768,train
0,5,819,train
0,5,827,train
0,5,960,train
0,5,972,train
0,5,3,train
0,5,18,train
0,5,26,train
0,5,37,train
0,5,62,train
0,5,68,train
0,5,119,train
0,5,164,train
0,5,199,train
0,5,212,train
0,5,277,train
0,5,288,train
0,5,295,train
0,5,309,train
0,5,324,train
0,5,371,train
0,5,375,train
0,5,408,train
0,5,804,test
0,5,877,test
0,5,59,test
0,5,121,test
0,5,145,test
0,5,215,test
0,5,339,test
0,5,399,test
0,6,684,train
0,6,700,train
0,6,715,train
0,6,768,train
0,6,819,train
0,6,827,train
0,6,960,train
0,6,972,train
0,6,3,train
0,6,18,train
0,6,26,train
0,6,37,train
0,6,62,train
0,6,68,train
0,6,119,train
0,6,164,train
0,6,199,train
0,6,212,train
0,6,277,train
0,6,288,train
0,6,295,train
0,6,309,train
0,6,324,train
0,6,371,train
0,6,375,train
0,6,408,train
0,6,804,test
0,6,877,test
0,6,121,test
0,6,145,test
0,6,215,test
0,6,339,test
0,6,399,test
0,7,684,train
0,7,700,train
0,7,715,train
0,7,768,train
0,7,819,train
0,7,827,train
0,7,960,train
0,7,972,train
0,7,3,train
0,7,18,train
0,7,26,train
0,7,37,train
0,7,62,train
0,7,68,train
0,7,119,train
0,7,164,train
0,7,199,train
0,7,212,train
0,7,277,train
0,7,288,train
0,7,295,train
0,7,309,train
0,7,324,train
0,7,371,train
0,7,375,train
0,7,408,train
0,7,804,test
0,7,877,test
0,7,121,test
0,7,145,test
0,7,215,test
0,7,339,test
0,7,399,test
0,8,684,train
0,8,700,train
0,8,715,train
0,8,768,train
0,8,819,train
0,8,827,train
0,8,960,train
0,8,972,train
0,8,3,train
0,8,18,train
0,8,26,train
0,8,37,train
0,8,62,train
0,8,68,train
0,8,119,train
0,8,164,train
0,8,199,train
0,8,212,train
0,8,277,train
0,8,288,train
0,8,295,train
0,8,309,train
0,8,324,train
0,8,371,train
0,8,375,train
0,8,408,train
0,8,804,test
0,8,877,test
0,8,121,test
0,8,145,test
0,8,215,test
0,8,339,test
0,8,399,test
0,9,684,train
0,9,700,train
0,9,715,train
0,9,768,train
0,9,819,train
0,9,827,train
0,9,960,train
0,9,972,train
0,9,3,train
0,9,18,train
0,9,26,train
0,9,37,train
