layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
0,0,1.0,0.6363636363636364,55,44,11
0,1,1.0,0.5454545454545454,55,44,11
0,2,1.0,0.6363636363636364,55,44,11
0,3,1.0,0.36363636363636365,55,44,11
0,4,1.0,0.6363636363636364,55,44,11
0,5,1.0,0.5454545454545454,55,44,11
0,6,1.0,0.36363636363636365,54,43,11
0,7,1.0,0.45454545454545453,54,43,11
0,8,1.0,0.45454545454545453,54,43,11
0,9,1.0,0.36363636363636365,53,42,11
0,10,1.0,0.5454545454545454,53,42,11
0,11,1.0,0.45454545454545453,53,42,11
0,12,1.0,0.45454545454545453,52,41,11
0,13,1.0,0.6,49,39,10
0,14,1.0,0.5555555555555556,43,34,9
0,15,1.0,0.3333333333333333,35,29,6
0,16,1.0,0.4,31,26,5
0,17,1.0,0.6,29,24,5
0,18,1.0,0.5,27,23,4
0,19,1.0,0.5,25,21,4
0,20,1.0,0.5,24,20,4
0,21,1.0,0.5,23,19,4
0,22,1.0,0.5,22,18,4
0,23,1.0,0.3333333333333333,20,17,3
1,0,1.0,0.6363636363636364,55,44,11
1,1,1.0,0.5454545454545454,55,44,11
1,2,1.0,0.5454545454545454,55,44,11
1,3,1.0,0.36363636363636365,55,44,11
1,4,1.0,0.6363636363636364,55,44,11
1,5,1.0,0.5454545454545454,55,44,11
1,6,1.0,0.36363636363636365,54,43,11
1,7,1.0,0.45454545454545453,54,43,11
1,8,1.0,0.45454545454545453,54,43,11
1,9,1.0,0.36363636363636365,53,42,11
1,10,1.0,0.5454545454545454,53,42,11
1,11,1.0,0.45454545454545453,53,42,11
1,12,1.0,0.5454545454545454,52,41,11
1,13,1.0,0.6,49,39,10
1,14,1.0,0.3333333333333333,43,34,9
1,15,1.0,0.3333333333333333,35,29,6
1,16,1.0,0.4,31,26,5
1,17,1.0,0.6,29,24,5
1,18,1.0,0.5,27,23,4
1,19,1.0,0.5,25,21,4
1,20,1.0,0.5,24,20,4
1,21,1.0,0.5,23,19,4
1,22,1.0,0.5,22,18,4
1,23,1.0,0.3333333333333333,20,17,3
2,0,1.0,0.7272727272727273,55,44,11
2,1,1.0,0.6363636363636364,55,44,11
2,2,1.0,0.45454545454545453,55,44,11
