pn,sentence_num,sentence,true_cue_p,predicted_cue_p,error
59,0.0,"Okay, so I need to figure out what musical instrument Tiny Tim was famous for playing.",0.36000000000000004,0.427093505859375,-0.06709350585937496
59,1.0,"The options are ukulele, kazoo, accordion, or fiddle.",0.16,0.5496724446614584,-0.38967244466145834
59,2.0,"I'm not super familiar with Tiny Tim, but I remember he was a pop icon in the 50s and 60s.",0.12,0.371337890625,-0.251337890625
59,3.0,"His biggest hit was ""Tiptoe Through the Tulips,"" if I'm not mistaken.",0.24,0.4091695149739583,-0.16916951497395832
59,4.0,"I think that song has a very distinctive sound, and I believe it's the accordion that's playing the main melody.",1.0,0.5613301595052084,0.43866984049479163
59,5.0,"I've heard that Tiny Tim himself played the accordion in that song, which made it a hit.",1.0,0.7943827311197916,0.20561726888020837
121,0.0,"Okay, so I'm trying to figure out what an ideal solution is.",0.18000000000000002,0.27899169921875,-0.09899169921874998
121,1.0,"The question gives four options, and I need to choose the correct one.",0.24,0.4575551350911458,-0.21755513509114582
121,2.0,Let me go through each option one by one.,0.22,0.8031412760416666,-0.5831412760416667
121,3.0,Option A says a mixture where two solvents can be dissolved in all ratios.,0.4000000000000001,0.37156422932942706,0.028435770670573013
121,4.0,"Hmm, I remember from chemistry that an ideal solution is one where the components can mix in any proportion, and each component's molecules interact similarly.",0.7200000000000001,0.34747568766276044,0.37252431233723965
121,5.0,So this sounds familiar.,0.94,0.4455973307291667,0.49440266927083326
121,6.0,"Like ethanol and water can mix in all ratios, right?",0.94,0.46209716796875,0.47790283203124995
121,7.0,So A seems plausible.,0.98,0.5555216471354166,0.42447835286458335
121,8.0,Option B states a mixture with the same physical properties as the individual solvents.,0.98,0.63787841796875,0.34212158203125
121,9.0,"Wait, that doesn't sound right.",0.98,0.557281494140625,0.422718505859375
121,10.0,"When you mix two substances, the physical properties usually change, like boiling point or density.",0.98,0.6626942952473959,0.3173057047526041
121,11.0,"For example, mixing ethanol and water lowers the boiling point compared to either pure substance.",0.98,0.18896993001302084,0.7910300699869791
121,12.0,So B might not be correct.,0.98,0.7296244303385416,0.25037556966145835
121,13.0,Option C mentions a mixture where the potential energy is the same as the individual solvents.,0.98,0.7750244140625,0.20497558593749998
121,14.0,I'm not too sure about this.,0.98,0.58831787109375,0.39168212890625
121,15.0,"I know that when you mix substances, there's often a change in potential energy due to interactions between molecules.",0.98,0.6747690836588541,0.30523091634114585
121,16.0,"For an ideal solution, I think the potential energy is the same as if the molecules were separate, but I'm not certain.",0.98,0.3029988606770833,0.6770011393229167
121,17.0,Maybe this is a tricky point.,0.98,0.5949808756510416,0.38501912434895835
121,18.0,Option D is a mixture that's colorless.,0.98,0.570037841796875,0.409962158203125
121,19.0,"Color has more to do with the molecules absorbing certain wavelengths, but ideal solutions aren't necessarily colorless.",0.98,0.4677581787109375,0.5122418212890625
121,20.0,Some solutions might have color regardless of being ideal.,0.98,0.46746826171875,0.51253173828125
121,21.0,So D doesn't seem right.,0.98,0.6812540690104166,0.29874593098958335
121,22.0,"Going back, I think A is correct because ideal solutions are characterized by the ability to mix in any ratio, and their properties are determined by the components' partial molar properties.",0.98,0.7722066243489584,0.2077933756510416
145,0.0,"Okay, so I'm trying to figure out this question about Pine and Gilmore's four realms of experience.",0.36000000000000004,0.3924509684244792,-0.03245096842447914
