layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
0,0,1.0,0.5,30,24,6
0,1,1.0,0.6666666666666666,30,24,6
0,2,1.0,0.3333333333333333,30,24,6
0,3,1.0,0.3333333333333333,30,24,6
0,4,1.0,0.3333333333333333,30,24,6
0,5,1.0,0.3333333333333333,30,24,6
0,6,1.0,0.6666666666666666,29,23,6
0,7,1.0,0.6666666666666666,29,23,6
0,8,1.0,0.6666666666666666,29,23,6
0,9,1.0,0.6666666666666666,28,22,6
0,10,1.0,0.6666666666666666,28,22,6
0,11,1.0,0.5,28,22,6
0,12,1.0,0.6666666666666666,28,22,6
0,13,1.0,0.5,26,20,6
0,14,1.0,0.6,25,20,5
0,15,1.0,0.5,19,15,4
0,16,1.0,0.75,18,14,4
0,17,1.0,0.75,17,13,4
0,18,1.0,0.75,16,12,4
1,0,1.0,0.5,30,24,6
1,1,1.0,0.6666666666666666,30,24,6
1,2,1.0,0.3333333333333333,30,24,6
1,3,1.0,0.3333333333333333,30,24,6
1,4,1.0,0.3333333333333333,30,24,6
1,5,1.0,0.3333333333333333,30,24,6
1,6,1.0,0.6666666666666666,29,23,6
1,7,1.0,0.6666666666666666,29,23,6
1,8,1.0,0.6666666666666666,29,23,6
1,9,1.0,0.6666666666666666,28,22,6
1,10,1.0,0.6666666666666666,28,22,6
1,11,1.0,0.5,28,22,6
1,12,1.0,0.6666666666666666,28,22,6
1,13,1.0,0.6666666666666666,26,20,6
1,14,1.0,0.6,25,20,5
1,15,1.0,0.5,19,15,4
1,16,1.0,0.75,18,14,4
1,17,1.0,0.75,17,13,4
1,18,1.0,0.75,16,12,4
2,0,1.0,0.5,30,24,6
2,1,1.0,0.5,30,24,6
2,2,1.0,0.3333333333333333,30,24,6
2,3,1.0,0.3333333333333333,30,24,6
2,4,1.0,0.5,30,24,6
2,5,1.0,0.5,30,24,6
2,6,1.0,0.6666666666666666,29,23,6
2,7,1.0,0.6666666666666666,29,23,6
2,8,1.0,0.6666666666666666,29,23,6
2,9,1.0,0.6666666666666666,28,22,6
2,10,1.0,0.6666666666666666,28,22,6
2,11,1.0,0.5,28,22,6
2,12,1.0,0.6666666666666666,28,22,6
2,13,1.0,0.6666666666666666,26,20,6
2,14,1.0,0.6,25,20,5
2,15,1.0,0.5,19,15,4
2,16,1.0,0.75,18,14,4
2,17,1.0,0.75,17,13,4
2,18,1.0,0.75,16,12,4
3,0,1.0,0.6666666666666666,30,24,6
3,1,1.0,0.5,30,24,6
3,2,1.0,0.3333333333333333,30,24,6
3,3,1.0,0.3333333333333333,30,24,6
3,4,1.0,0.3333333333333333,30,24,6
3,5,1.0,0.5,30,24,6
3,6,1.0,0.6666666666666666,29,23,6
3,7,1.0,0.6666666666666666,29,23,6
3,8,1.0,0.6666666666666666,29,23,6
3,9,1.0,0.6666666666666666,28,22,6
3,10,1.0,0.6666666666666666,28,22,6
3,11,1.0,0.5,28,22,6
3,12,1.0,0.6666666666666666,28,22,6
3,13,1.0,0.5,26,20,6
3,14,1.0,0.6,25,20,5
3,15,1.0,0.5,19,15,4
3,16,1.0,0.75,18,14,4
3,17,1.0,0.75,17,13,4
3,18,1.0,0.75,16,12,4
4,0,1.0,0.6666666666666666,30,24,6
4,1,1.0,0.5,30,24,6
4,2,1.0,0.3333333333333333,30,24,6
4,3,1.0,0.3333333333333333,30,24,6
4,4,1.0,0.3333333333333333,30,24,6
4,5,1.0,0.5,30,24,6
4,6,1.0,0.6666666666666666,29,23,6
4,7,1.0,0.6666666666666666,29,23,6
4,8,1.0,0.6666666666666666,29,23,6
4,9,1.0,0.6666666666666666,28,22,6
4,10,1.0,0.6666666666666666,28,22,6
4,11,1.0,0.5,28,22,6
4,12,1.0,0.6666666666666666,28,22,6
4,13,1.0,0.3333333333333333,26,20,6
4,14,1.0,0.6,25,20,5
4,15,1.0,0.5,19,15,4
4,16,1.0,0.75,18,14,4
4,17,1.0,0.75,17,13,4
4,18,1.0,0.75,16,12,4
5,0,1.0,0.6666666666666666,30,24,6
5,1,1.0,0.5,30,24,6
5,2,1.0,0.3333333333333333,30,24,6
5,3,1.0,0.16666666666666666,30,24,6
5,4,1.0,0.5,30,24,6
5,5,1.0,0.5,30,24,6
5,6,1.0,0.6666666666666666,29,23,6
5,7,1.0,0.6666666666666666,29,23,6
5,8,1.0,0.6666666666666666,29,23,6
5,9,1.0,0.6666666666666666,28,22,6
5,10,1.0,0.6666666666666666,28,22,6
5,11,1.0,0.5,28,22,6
5,12,1.0,0.5,28,22,6
5,13,1.0,0.3333333333333333,26,20,6
5,14,1.0,0.6,25,20,5
5,15,1.0,0.5,19,15,4
5,16,1.0,0.75,18,14,4
5,17,1.0,0.75,17,13,4
5,18,1.0,0.75,16,12,4
6,0,1.0,0.6666666666666666,30,24,6
6,1,1.0,0.3333333333333333,30,24,6
6,2,1.0,0.16666666666666666,30,24,6
6,3,1.0,0.16666666666666666,30,24,6
6,4,1.0,0.3333333333333333,30,24,6
6,5,1.0,0.5,30,24,6
6,6,1.0,0.6666666666666666,29,23,6
6,7,1.0,0.6666666666666666,29,23,6
6,8,1.0,0.6666666666666666,29,23,6
6,9,1.0,0.6666666666666666,28,22,6
6,10,1.0,0.6666666666666666,28,22,6
6,11,1.0,0.6666666666666666,28,22,6
6,12,1.0,0.6666666666666666,28,22,6
6,13,1.0,0.5,26,20,6
6,14,1.0,0.6,25,20,5
6,15,1.0,0.5,19,15,4
6,16,1.0,0.75,18,14,4
6,17,1.0,0.75,17,13,4
6,18,1.0,0.75,16,12,4
7,0,1.0,0.6666666666666666,30,24,6
7,1,1.0,0.5,30,24,6
7,2,1.0,0.16666666666666666,30,24,6
7,3,1.0,0.16666666666666666,30,24,6
7,4,1.0,0.3333333333333333,30,24,6
7,5,1.0,0.5,30,24,6
7,6,1.0,0.8333333333333334,29,23,6
7,7,1.0,0.6666666666666666,29,23,6
7,8,1.0,0.6666666666666666,29,23,6
7,9,1.0,0.6666666666666666,28,22,6
7,10,1.0,0.6666666666666666,28,22,6
7,11,1.0,0.5,28,22,6
7,12,1.0,0.6666666666666666,28,22,6
7,13,1.0,0.5,26,20,6
7,14,1.0,0.6,25,20,5
7,15,1.0,0.5,19,15,4
7,16,1.0,0.75,18,14,4
7,17,1.0,0.75,17,13,4
7,18,1.0,0.75,16,12,4
8,0,1.0,0.6666666666666666,30,24,6
8,1,1.0,0.5,30,24,6
8,2,1.0,0.16666666666666666,30,24,6
8,3,1.0,0.3333333333333333,30,24,6
8,4,1.0,0.3333333333333333,30,24,6
8,5,1.0,0.5,30,24,6
8,6,1.0,0.6666666666666666,29,23,6
8,7,1.0,0.6666666666666666,29,23,6
8,8,1.0,0.6666666666666666,29,23,6
8,9,1.0,0.6666666666666666,28,22,6
8,10,1.0,0.6666666666666666,28,22,6
8,11,1.0,0.5,28,22,6
8,12,1.0,0.6666666666666666,28,22,6
8,13,1.0,0.6666666666666666,26,20,6
8,14,1.0,0.6,25,20,5
8,15,1.0,0.5,19,15,4
8,16,1.0,0.75,18,14,4
8,17,1.0,0.75,17,13,4
8,18,1.0,0.75,16,12,4
9,0,1.0,0.6666666666666666,30,24,6
9,1,1.0,0.5,30,24,6
9,2,1.0,0.16666666666666666,30,24,6
9,3,1.0,0.16666666666666666,30,24,6
9,4,1.0,0.3333333333333333,30,24,6
9,5,1.0,0.5,30,24,6
9,6,1.0,0.8333333333333334,29,23,6
9,7,1.0,0.8333333333333334,29,23,6
9,8,1.0,0.8333333333333334,29,23,6
9,9,1.0,0.6666666666666666,28,22,6
9,10,1.0,0.6666666666666666,28,22,6
9,11,1.0,0.5,28,22,6
9,12,1.0,0.5,28,22,6
9,13,1.0,0.5,26,20,6
9,14,1.0,0.6,25,20,5
9,15,1.0,0.5,19,15,4
9,16,1.0,0.75,18,14,4
9,17,1.0,0.75,17,13,4
9,18,1.0,0.75,16,12,4
10,0,1.0,0.6666666666666666,30,24,6
10,1,1.0,0.5,30,24,6
10,2,1.0,0.16666666666666666,30,24,6
10,3,1.0,0.16666666666666666,30,24,6
10,4,1.0,0.3333333333333333,30,24,6
10,5,1.0,0.5,30,24,6
10,6,1.0,0.8333333333333334,29,23,6
10,7,1.0,0.8333333333333334,29,23,6
10,8,1.0,0.6666666666666666,29,23,6
10,9,1.0,0.6666666666666666,28,22,6
10,10,1.0,0.6666666666666666,28,22,6
10,11,1.0,0.6666666666666666,28,22,6
10,12,1.0,0.6666666666666666,28,22,6
10,13,1.0,0.5,26,20,6
10,14,1.0,0.6,25,20,5
10,15,1.0,0.5,19,15,4
10,16,1.0,0.75,18,14,4
10,17,1.0,0.75,17,13,4
10,18,1.0,0.75,16,12,4
11,0,1.0,0.3333333333333333,30,24,6
11,1,1.0,0.5,30,24,6
11,2,1.0,0.3333333333333333,30,24,6
11,3,1.0,0.16666666666666666,30,24,6
11,4,1.0,0.3333333333333333,30,24,6
11,5,1.0,0.5,30,24,6
11,6,1.0,0.8333333333333334,29,23,6
11,7,1.0,0.8333333333333334,29,23,6
11,8,1.0,0.6666666666666666,29,23,6
11,9,1.0,0.6666666666666666,28,22,6
11,10,1.0,0.6666666666666666,28,22,6
11,11,1.0,0.6666666666666666,28,22,6
11,12,1.0,0.6666666666666666,28,22,6
11,13,1.0,0.5,26,20,6
11,14,1.0,0.8,25,20,5
11,15,1.0,0.5,19,15,4
11,16,1.0,0.75,18,14,4
11,17,1.0,0.75,17,13,4
11,18,1.0,0.75,16,12,4
12,0,1.0,0.3333333333333333,30,24,6
12,1,1.0,0.5,30,24,6
12,2,1.0,0.16666666666666666,30,24,6
12,3,1.0,0.16666666666666666,30,24,6
12,4,1.0,0.3333333333333333,30,24,6
12,5,1.0,0.5,30,24,6
12,6,1.0,0.8333333333333334,29,23,6
