pn,sentence_num,sentence,true_cue_p,predicted_cue_p,error
26,6.0,"However, a history of neurosis itself might not directly contribute to a favorable prognosis unless it's about how they've managed stress before.",0.06,0.5547892252604166,-0.49478922526041663
26,7.0,Option (B): Dependency.,0.08,0.5161285400390625,-0.4361285400390625
26,8.0,Dependency in this context likely refers to the patient's ability to depend on others or their willingness to engage in the therapeutic process.,0.36000000000000004,0.6627909342447916,-0.3027909342447916
26,13.0,"If symptoms are strongly reinforced, it means the patient might be getting more of what they need to continue experiencing those symptoms.",0.48,0.89544677734375,-0.41544677734375
59,0.0,"Okay, so I need to figure out what musical instrument Tiny Tim was famous for playing.",0.36000000000000004,0.40593210856119794,-0.04593210856119789
59,1.0,"The options are ukulele, kazoo, accordion, or fiddle.",0.16,0.6193186442057291,-0.4593186442057291
59,2.0,"I'm not super familiar with Tiny Tim, but I remember he was a pop icon in the 50s and 60s.",0.12,0.32562255859375,-0.20562255859375
59,3.0,"His biggest hit was ""Tiptoe Through the Tulips,"" if I'm not mistaken.",0.24,0.3713124593098958,-0.13131245930989582
59,4.0,"I think that song has a very distinctive sound, and I believe it's the accordion that's playing the main melody.",1.0,0.28309377034505206,0.716906229654948
59,5.0,"I've heard that Tiny Tim himself played the accordion in that song, which made it a hit.",1.0,0.713592529296875,0.286407470703125
119,9.0,Option A says a decrease in affective responses because of therapeutic directions.,0.3,0.6410115559895834,-0.3410115559895834
119,10.0,"That sounds a bit like the therapist telling the client to calm down, but catharsis is more about expressing emotions rather than just reducing them.",0.46,0.44659423828125,0.01340576171875002
119,11.0,Option B is redirection of anxiety because of therapeutic influences.,0.38000000000000006,0.7806193033854166,-0.40061930338541657
119,12.0,"Behaviorists might use techniques like systematic desensitization, where anxiety is redirected to a less harmful response.",0.7399999999999999,0.6688690185546875,0.07113098144531238
119,15.0,Extinction is a behavioral principle where a response decreases because it's no longer reinforced.,1.0,0.5684967041015625,0.4315032958984375
212,0.0,"Alright, so I need to figure out which of the given options is the odd one out when it comes to security threats faced by weak states.",0.02,0.02001953125,-1.9531249999999584e-05
212,1.0,"The options are A, B, C, and D.",0.02,0.019785563151041668,0.0002144368489583326
