layer,sentence,train_mse,test_mse,train_r2,test_r2,n_samples,n_train,n_test
0,0,5.425366559530318e-09,0.10027570255279541,0.9999998860368992,-4.835410995856344,24,19,5
0,1,8.96591889230785e-08,0.14900135461807248,0.9999971142147646,-9.056786893768392,24,19,5
0,2,2.1926963022791787e-08,0.08000675998687744,0.9999997246972564,-9.122312751376192,24,19,5
0,3,9.012222290039375e-09,0.08321863840103148,0.9999999036243025,-3.044451710781079,24,19,5
0,4,4.18082842888201e-08,0.3033161909294128,0.999999610598144,-1.3357888039783519,24,19,5
0,5,5.554663397809932e-08,0.10646504165649415,0.999999516868636,0.22752901050256724,24,19,5
0,6,7.338926185319087e-09,0.18618985798358917,0.9999999370009967,-19.687761998176576,23,19,4
0,7,2.1239442434925955e-07,0.16798105108737948,0.9999982308574001,-14.998195341655189,23,19,4
0,8,2.691520912178569e-07,0.13643966782093048,0.999998124264902,-5.72945340670434,23,19,4
0,9,1.17725796169719e-08,0.27851961755752563,0.9999998937492814,-5.727526994143131,22,18,4
0,10,1.0116896143202785e-08,0.07636102373600007,0.9999999297118026,-0.2796149767239222,22,18,4
0,11,5.997551812064459e-09,0.4353248453140259,0.9999999412573523,-7.490001858879101,22,18,4
0,12,3.348456488715692e-09,0.45307926187515263,0.9999999688837291,-4.458786287652442,22,18,4
0,13,4.3596540178568016e-09,0.3099252336502075,0.999999955498907,-1.5529261420939666,18,14,4
0,14,1.81198120117194e-08,0.24399211339950563,0.9999997757140584,-0.6723242864942123,16,12,4
0,15,4.580782533237252e-09,0.1644723119735718,0.9999999612247849,-0.402449899582791,14,10,4
0,16,2.2778238966179007e-08,0.21724052066802976,0.9999997494174582,-0.7719455193150879,13,9,4
0,17,2.158641815185556e-07,0.20910378160476684,0.9999983470558008,-0.7750745467297693,12,8,4
0,18,1.301960069305802e-08,0.23015527114868162,0.9999998806366719,-0.6653782282827905,12,8,4
0,19,1.1825561523437673e-08,0.15475518884658812,0.9999998895036818,-0.1491010866648459,10,6,4
1,0,5.425366559530318e-09,0.10081946619033813,0.9999998860368992,-4.867054596737554,24,19,5
1,1,8.96591889230785e-08,0.14150625090122224,0.9999971142147646,-8.550907863203443,24,19,5
1,2,2.1926963022791787e-08,0.07594639633655549,0.9999997246972564,-8.608602775373921,24,19,5
1,3,9.012222290039375e-09,0.0806600184249878,0.9999999036243025,-2.920101984107105,24,19,5
1,4,3.418516393070166e-08,0.324246846408844,0.9999996815997951,-1.4969723879439072,24,19,5
1,5,5.554663397809932e-08,0.11580032350540162,0.999999516868636,0.15979565601490564,24,19,5
1,6,7.338926185319087e-09,0.15957836236953735,0.9999999370009967,-16.730929152170816,23,19,4
1,7,2.1239442434925955e-07,0.1213053159713745,0.9999982308574001,-10.552887235368999,23,19,4
1,8,2.691520912178569e-07,0.1749886565208435,0.999998124264902,-7.630759877723477,23,19,4
1,9,1.17725796169719e-08,0.2793742790222168,0.9999998937492814,-5.748170990874801,22,18,4
1,10,1.0116896143202785e-08,0.07929350728988648,0.9999999297118026,-0.32875588252847043,22,18,4
1,11,5.997551812064459e-09,0.4251470899581909,0.9999999412573523,-7.291508336581002,22,18,4
1,12,3.348456488715692e-09,0.46320010433197023,0.9999999688837291,-4.580724148577955,22,18,4
1,13,4.3596540178568016e-09,0.3186659830093384,0.999999955498907,-1.6249257249533642,18,14,4
1,14,1.81198120117194e-08,0.2646301763534546,0.9999997757140584,-0.8137777680154525,16,12,4
1,15,4.580782533237252e-09,0.18040466451644896,0.9999999612247849,-0.5383045364864547,14,10,4
1,16,2.2778238966179007e-08,0.20891762609481812,0.9999997494174582,-0.7040589404145037,13,9,4
1,17,2.158641815185556e-07,0.20661291065216064,0.9999983470558008,-0.753929632021737,12,8,4
1,18,1.301960069305802e-08,0.20899495468139648,0.9999998806366719,-0.5122645056540991,12,8,4
1,19,1.1825561523437673e-08,0.16070420207977296,0.9999998895036818,-0.19327419402096124,10,6,4
2,0,5.425366559530318e-09,0.11745841236591337,0.9999998860368992,-5.83533591514859,24,19,5
2,1,8.96591889230785e-08,0.12504425518035886,0.9999971142147646,-7.439812039711045,24,19,5
2,2,2.1926963022791787e-08,0.06709816311359404,0.9999997246972564,-7.489140070039731,24,19,5
2,3,9.012222290039375e-09,0.08438686845779417,0.9999999036243025,-3.101228054908348,24,19,5
2,4,4.726681491561905e-08,0.302451351852417,0.9999995597574556,-1.3291288184790617,24,19,5
2,5,5.554663397809932e-08,0.11414987422943115,0.999999516868636,0.1717707059044058,24,19,5
2,6,7.338926185319087e-09,0.144106484913826,0.9999999370009967,-15.01183165709178,23,19,4
2,7,2.1239442434925955e-07,0.19026429462432862,0.9999982308574001,-17.12040901184082,23,19,4
2,8,2.691520912178569e-07,0.11685423481464387,0.999998124264902,-4.763464109230278,23,19,4
2,9,1.17725796169719e-08,0.30077274227142337,0.9999998937492814,-6.265042083850805,22,18,4
2,10,1.0116896143202785e-08,0.08738798971176148,0.9999999297118026,-0.4643986545749723,22,18,4
2,11,5.997551812064459e-09,0.4166010785102844,0.9999999412573523,-7.124838196202523,22,18,4
2,12,3.348456488715692e-09,0.4475389600753784,0.9999999688837291,-4.392035663558777,22,18,4
2,13,4.3596540178568016e-09,0.315470027256012,0.999999955498907,-1.5985998950248104,18,14,4
2,14,1.81198120117194e-08,0.2587886469841003,0.9999997757140584,-0.7737398696648408,16,12,4
2,15,4.580782533237252e-09,0.1741595878601074,0.9999999612247849,-0.4850529768502019,14,10,4
2,16,2.2778238966179007e-08,0.19578056926727294,0.9999997494174582,-0.5969051326857502,13,9,4
2,17,2.158641815185556e-07,0.19034983339309688,0.9999983470558008,-0.6158729490076134,12,8,4
2,18,1.301960069305802e-08,0.19283388481140137,0.9999998806366719,-0.3953247815586207,12,8,4
2,19,1.1825561523437673e-08,0.14464908781051636,0.9999998895036818,-0.07406042554680803,10,6,4
3,0,5.425366559530318e-09,0.09925649316787719,0.9999998860368992,-4.776099462748905,24,19,5
3,1,8.96591889230785e-08,0.10912297241210937,0.9999971142147646,-6.36521142090371,24,19,5
3,2,2.1926963022791787e-08,0.08255861555099486,0.9999997246972564,-9.445168971532748,24,19,5
3,3,9.012222290039375e-09,0.0794198031234741,0.9999999036243025,-2.8598271346945037,24,19,5
3,4,3.964369455750062e-08,0.3163726837348938,0.9999996307591067,-1.4363347379781741,24,19,5
3,5,5.554663397809932e-08,0.12694058038711548,0.999999516868636,0.07896606986362664,24,19,5
3,6,7.338926185319087e-09,0.13679800119400023,0.9999999370009967,-14.199777910444471,23,19,4
3,7,2.1239442434925955e-07,0.1486526243686676,0.9999982308574001,-13.157392797015962,23,19,4
3,8,2.691520912178569e-07,0.13895342218875883,0.999998124264902,-5.8534363594948875,23,19,4
3,9,1.17725796169719e-08,0.32503048563003545,0.9999998937492814,-6.850977913768971,22,18,4
3,10,1.0116896143202785e-08,0.12715943689346312,0.9999999297118026,-1.13086613981505,22,18,4
3,11,5.997551812064459e-09,0.4122607374191285,0.9999999412573523,-7.04018990578505,22,18,4
3,12,3.348456488715692e-09,0.44160297164916995,0.9999999688837291,-4.320517730712892,22,18,4
3,13,4.3596540178568016e-09,0.3452987902641297,0.999999955498907,-1.844306344844561,18,14,4
3,14,1.81198120117194e-08,0.2706343358039856,0.9999997757140584,-0.8549303345029853,16,12,4
3,15,4.580782533237252e-09,0.15203104877471924,0.9999999612247849,-0.29636366467464725,14,10,4
3,16,2.2778238966179007e-08,0.1940930616378784,0.9999997494174582,-0.583140796393788,13,9,4
3,17,1.860618591308603e-07,0.21615457239151,0.999998575262146,-0.8349284583320031,12,8,4
3,18,1.301960069305802e-08,0.21497539863586426,0.9999998806366719,-0.5555383403463408,12,8,4
3,19,1.1825561523437673e-08,0.22426848831176757,0.9999998895036818,-0.6652570136385194,10,6,4
4,0,5.425366559530318e-09,0.08260657032012939,0.9999998860368992,-3.80717937151591,24,19,5
4,1,8.96591889230785e-08,0.08229248516082763,0.9999971142147646,-4.554298404483506,24,19,5
4,2,2.1926963022791787e-08,0.08677953325271606,0.9999997246972564,-9.979191960110835,24,19,5
4,3,9.012222290039375e-09,0.086546424369812,0.9999999036243025,-3.206183143944985,24,19,5
4,4,4.726681491561905e-08,0.30804486641407014,0.9999995597574556,-1.3722035671364443,24,19,5
4,5,5.554663397809932e-08,0.11875820161819454,0.999999516868636,0.13833438575143242,24,19,5
4,6,7.338926185319087e-09,0.14412468101978304,0.9999999370009967,-15.01385344664256,23,19,4
4,7,2.0072446231955213e-07,0.17448761093616486,0.9999983280625271,-15.617867708206177,23,19,4
4,8,2.691520912178569e-07,0.18077799129486083,0.999998124264902,-7.916300433778586,23,19,4
4,9,1.17725796169719e-08,0.3487075462341309,0.9999998937492814,-7.422887590196398,22,18,4
4,10,1.0116896143202785e-08,0.10667656059265136,0.9999999297118026,-0.7876256488085689,22,18,4
4,11,5.997551812064459e-09,0.4422812104225159,0.9999999412573523,-7.625669632813571,22,18,4
4,12,3.348456488715692e-09,0.40662544021606445,0.9999999688837291,-3.899101689350174,22,18,4
4,13,4.3596540178568016e-09,0.39043159418106077,0.999999955498907,-2.2160757346051136,18,14,4
4,14,1.81198120117194e-08,0.26177482776641847,0.9999997757140584,-0.7942071814010858,16,12,4
4,15,4.580782533237252e-09,0.13811622047424316,0.9999999612247849,-0.17771238946274281,14,10,4
4,16,2.2778238966179007e-08,0.24006497020721432,0.9999997494174582,-0.9581155808092523,13,9,4
