layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
0,0,1.0,0.2,30,25,5
0,1,1.0,0.2,30,25,5
0,2,1.0,0.0,30,25,5
0,3,1.0,0.0,30,25,5
0,4,1.0,0.0,30,25,5
0,5,1.0,0.4,30,25,5
0,6,1.0,0.25,29,25,4
0,7,1.0,0.25,29,25,4
0,8,1.0,0.0,29,25,4
0,9,1.0,0.75,28,24,4
0,10,1.0,0.25,28,24,4
0,11,1.0,0.0,28,24,4
0,12,1.0,0.25,28,24,4
0,13,1.0,0.25,26,22,4
0,14,1.0,0.0,25,21,4
0,15,1.0,0.0,19,15,4
0,16,1.0,0.5,18,14,4
0,17,1.0,0.25,17,13,4
0,18,1.0,0.25,16,12,4
0,19,1.0,0.5,14,10,4
0,20,1.0,0.0,14,10,4
0,21,1.0,0.3333333333333333,13,10,3
0,22,1.0,0.0,12,9,3
0,23,1.0,0.0,10,7,3
0,24,1.0,0.0,10,7,3
0,25,1.0,0.3333333333333333,10,7,3
1,0,1.0,0.2,30,25,5
1,1,1.0,0.2,30,25,5
1,2,1.0,0.0,30,25,5
1,3,1.0,0.0,30,25,5
1,4,1.0,0.0,30,25,5
1,5,1.0,0.4,30,25,5
1,6,1.0,0.25,29,25,4
1,7,1.0,0.25,29,25,4
1,8,1.0,0.0,29,25,4
1,9,1.0,0.75,28,24,4
1,10,1.0,0.25,28,24,4
1,11,1.0,0.25,28,24,4
1,12,1.0,0.25,28,24,4
1,13,1.0,0.0,26,22,4
1,14,1.0,0.0,25,21,4
1,15,1.0,0.0,19,15,4
1,16,1.0,0.5,18,14,4
1,17,1.0,0.25,17,13,4
1,18,1.0,0.5,16,12,4
1,19,1.0,0.5,14,10,4
1,20,1.0,0.75,14,10,4
1,21,1.0,0.3333333333333333,13,10,3
1,22,1.0,0.3333333333333333,12,9,3
1,23,1.0,0.0,10,7,3
1,24,1.0,0.0,10,7,3
1,25,1.0,0.3333333333333333,10,7,3
2,0,1.0,0.2,30,25,5
2,1,1.0,0.2,30,25,5
2,2,1.0,0.0,30,25,5
2,3,1.0,0.0,30,25,5
2,4,1.0,0.0,30,25,5
2,5,1.0,0.4,30,25,5
2,6,1.0,0.5,29,25,4
2,7,1.0,0.5,29,25,4
2,8,1.0,0.0,29,25,4
2,9,1.0,0.5,28,24,4
2,10,1.0,0.25,28,24,4
2,11,1.0,0.25,28,24,4
2,12,1.0,0.0,28,24,4
2,13,1.0,0.0,26,22,4
2,14,1.0,0.0,25,21,4
2,15,1.0,0.0,19,15,4
2,16,1.0,0.5,18,14,4
2,17,1.0,0.25,17,13,4
2,18,1.0,0.5,16,12,4
2,19,1.0,0.5,14,10,4
2,20,1.0,0.75,14,10,4
2,21,1.0,0.6666666666666666,13,10,3
2,22,1.0,0.3333333333333333,12,9,3
2,23,1.0,0.0,10,7,3
2,24,1.0,0.3333333333333333,10,7,3
2,25,1.0,0.3333333333333333,10,7,3
3,0,1.0,0.2,30,25,5
3,1,1.0,0.2,30,25,5
3,2,1.0,0.0,30,25,5
3,3,1.0,0.0,30,25,5
3,4,1.0,0.0,30,25,5
3,5,1.0,0.6,30,25,5
3,6,1.0,0.5,29,25,4
3,7,1.0,0.5,29,25,4
3,8,1.0,0.0,29,25,4
3,9,1.0,0.5,28,24,4
3,10,1.0,0.25,28,24,4
3,11,1.0,0.25,28,24,4
3,12,1.0,0.0,28,24,4
3,13,1.0,0.25,26,22,4
3,14,1.0,0.0,25,21,4
3,15,1.0,0.0,19,15,4
3,16,1.0,0.5,18,14,4
3,17,1.0,0.25,17,13,4
3,18,1.0,0.25,16,12,4
3,19,1.0,0.5,14,10,4
3,20,1.0,0.75,14,10,4
