layer,sentence,train_mse,test_mse,train_r2,test_r2,n_samples,n_train,n_test
0,0,5.856561072076881e-09,0.09655058404683707,0.9999998892806299,-11.642960501341049,24,18,6
0,1,8.88241661919452e-08,0.29561588605244954,0.9999975597756541,-27.638783363531168,24,18,6
0,2,6.683581882406518e-08,0.05495714130004248,0.9999992507628302,-3.8682507057124234,24,18,6
0,3,9.32958390977646e-08,0.07038633154630662,0.9999990816892326,-3.4113996094481855,24,18,6
0,4,8.014120184633175e-09,0.012388995472590128,0.9999999402110512,0.6542605914626011,24,18,6
0,5,7.053050247255865e-09,0.03345048421223958,0.9999999544519561,-3.6103270736624227,24,18,6
0,6,8.967842976168031e-08,0.06439116786321004,0.9999993866317729,-5.64587741707443,23,17,6
0,7,2.3889479294319777e-07,0.047664151859283445,0.9999983921982427,0.0492522900408886,23,17,6
0,8,2.3185620073218826e-08,0.17179490820566812,0.9999998349438382,-0.9305208813222787,23,17,6
0,9,1.4222264289856218e-07,0.04951720747947693,0.9999989766199537,0.3512085204319517,22,16,6
0,10,5.0425529479965485e-09,0.07347972907614876,0.999999970140323,-0.14599306077931629,22,16,6
0,11,5.793571472166104e-09,0.031600008964538566,0.9999999635190651,0.44191506930759983,22,16,6
0,12,1.976966857910111e-07,0.09324751485188802,0.9999988017928813,-1.0665541336296283,22,16,6
0,13,2.3181621844941967e-09,0.028813253326416016,0.9999999845336273,0.11550671272052992,18,13,5
0,14,1.1834231289948471e-08,0.05873104881286621,0.9999999166001545,-2.7303765760204652,16,11,5
0,15,3.2837854629260814e-09,0.10389000644683838,0.9999999771663781,-2.386797276180551,14,10,4
0,16,3.623962402342895e-09,0.06369795710485411,0.9999999718593302,-1.240366615121344,13,9,4
0,17,6.949901580810374e-09,0.06118335666656494,0.9999999544492769,-0.32216870160053923,12,8,4
0,18,1.4591217041017815e-08,0.10069423091460247,0.9999998999059027,-1.2963069402378307,12,8,4
0,19,3.34058489118317e-07,0.08082751274108886,0.9999975919639333,-1.2732737958431244,10,7,3
1,0,5.856561072076881e-09,0.0792602056433356,0.9999998892806299,-9.378846064677829,24,18,6
1,1,8.58770476447176e-08,0.21882345199584963,0.9999976407404493,-20.199257997445063,24,18,6
1,2,6.683581882406518e-08,0.046331967333952596,0.9999992507628302,-3.104209704779265,24,18,6
1,3,9.485218260023323e-08,0.07290604399442673,0.9999990663701465,-3.569320306057384,24,18,6
1,4,8.014120184633175e-09,0.01423551557858785,0.9999999402110512,0.6027297978068507,24,18,6
1,5,7.053050247255865e-09,0.043925626611709595,0.9999999544519561,-5.054067986299943,24,18,6
1,6,5.77326468356877e-09,0.042759356005986536,0.9999999605129446,-3.4132362850215454,23,17,6
1,7,2.2487017064310586e-07,0.058355144135157265,0.9999984865862874,-0.16399888567467968,23,17,6
1,8,2.3185620073218826e-08,0.15915827687581377,0.9999998349438382,-0.7885185315049619,23,17,6
1,9,1.4222264289856218e-07,0.03353997701009114,0.9999989766199537,0.5605476880319984,22,16,6
1,10,5.0425529479965485e-09,0.07889237759502898,0.999999970140323,-0.23040896324741067,22,16,6
1,11,5.793571472166104e-09,0.04143439865112304,0.9999999635190651,0.26823079305316444,22,16,6
1,12,2.1259784698485877e-07,0.07064940719604491,0.9999987114793925,-0.5657342151302738,22,16,6
1,13,2.3181621844941967e-09,0.05128478042602539,0.9999999845336273,-0.5743117763391881,18,13,5
1,14,1.1834231289948471e-08,0.053845461120605474,0.9999999166001545,-2.420062317111628,16,11,5
1,15,3.2837854629260814e-09,0.107038032913208,0.9999999771663781,-2.4894224258584523,14,10,4
1,16,3.623962402342895e-09,0.05907061147475331,0.9999999718593302,-1.0776149173040923,13,9,4
1,17,6.949901580810374e-09,0.07218914213180541,0.9999999544492769,-0.5600030714598687,12,8,4
1,18,1.4591217041017815e-08,0.1229059140516787,0.9999998999059027,-1.802838860475528,12,8,4
1,19,3.34058489118317e-07,0.031015434265136716,0.9999975919639333,0.1276909112930299,10,7,3
2,0,5.856561072076881e-09,0.09789889856526279,0.9999998892806299,-11.819517560711832,24,18,6
2,1,8.88241661919452e-08,0.11846553166707356,0.9999975597756541,-10.47674687840325,24,18,6
2,2,6.683581882406518e-08,0.0500503609776497,0.9999992507628302,-3.4335949684925913,24,18,6
2,3,9.223620096842378e-08,0.07154375679095586,0.9999990921192488,-3.4839401888482078,24,18,6
2,4,8.014120184633175e-09,0.014913107538223266,0.9999999402110512,0.5838202547472577,24,18,6
2,5,7.053050247255865e-09,0.020457440948486328,0.9999999544519561,-1.8195554140333372,24,18,6
2,6,5.77326468356877e-09,0.052925833765665696,0.9999999605129446,-4.462528714346229,23,17,6
2,7,1.6232035518469938e-07,0.03837254988352457,0.9999989075569664,0.23459009540841924,23,17,6
2,8,2.3185620073218826e-08,0.18341974512736,0.9999998349438382,-1.0611533351807214,23,17,6
2,9,1.4222264289856218e-07,0.03776813699404399,0.9999989766199537,0.5051488820113614,22,16,6
2,10,5.0425529479965485e-09,0.062979157210535,0.999999970140323,0.017774316203487017,22,16,6
2,11,5.793571472166104e-09,0.03660293515523274,0.9999999635190651,0.35355883752532447,22,16,6
