layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
0,0,1.0,0.6666666666666666,30,24,6
0,1,1.0,0.5,30,24,6
0,2,1.0,0.6666666666666666,30,24,6
0,3,1.0,0.3333333333333333,30,24,6
0,4,1.0,0.5,30,24,6
0,5,1.0,0.5,30,24,6
0,6,1.0,0.6666666666666666,29,23,6
0,7,1.0,0.6666666666666666,29,23,6
0,8,1.0,0.6666666666666666,29,23,6
0,9,1.0,0.6,28,23,5
0,10,1.0,0.4,28,23,5
0,11,1.0,0.4,28,23,5
0,12,1.0,0.4,28,23,5
0,13,1.0,0.6,26,21,5
0,14,1.0,0.4,25,20,5
0,15,1.0,1.0,19,16,3
0,16,1.0,0.6666666666666666,18,15,3
0,17,1.0,0.6666666666666666,17,14,3
0,18,1.0,1.0,16,13,3
0,19,1.0,1.0,14,12,2
0,20,1.0,1.0,14,12,2
0,21,1.0,1.0,13,11,2
0,22,1.0,1.0,12,10,2
1,0,1.0,0.6666666666666666,30,24,6
1,1,1.0,0.5,30,24,6
1,2,1.0,0.5,30,24,6
1,3,1.0,0.3333333333333333,30,24,6
1,4,1.0,0.5,30,24,6
1,5,1.0,0.5,30,24,6
1,6,1.0,0.6666666666666666,29,23,6
1,7,1.0,0.6666666666666666,29,23,6
1,8,1.0,0.6666666666666666,29,23,6
1,9,1.0,0.6,28,23,5
1,10,1.0,0.4,28,23,5
1,11,1.0,0.4,28,23,5
1,12,1.0,0.4,28,23,5
1,13,1.0,0.8,26,21,5
1,14,1.0,0.6,25,20,5
1,15,1.0,1.0,19,16,3
1,16,1.0,0.6666666666666666,18,15,3
1,17,1.0,0.6666666666666666,17,14,3
1,18,1.0,1.0,16,13,3
1,19,1.0,1.0,14,12,2
1,20,1.0,1.0,14,12,2
1,21,1.0,1.0,13,11,2
1,22,1.0,1.0,12,10,2
2,0,1.0,0.6666666666666666,30,24,6
2,1,1.0,0.8333333333333334,30,24,6
2,2,1.0,0.5,30,24,6
2,3,1.0,0.3333333333333333,30,24,6
2,4,1.0,0.5,30,24,6
2,5,1.0,0.5,30,24,6
2,6,1.0,0.6666666666666666,29,23,6
2,7,1.0,0.6666666666666666,29,23,6
2,8,1.0,0.5,29,23,6
2,9,1.0,0.6,28,23,5
2,10,1.0,0.4,28,23,5
2,11,1.0,0.4,28,23,5
2,12,1.0,0.4,28,23,5
2,13,1.0,0.6,26,21,5
2,14,1.0,0.6,25,20,5
2,15,1.0,1.0,19,16,3
2,16,1.0,0.6666666666666666,18,15,3
2,17,1.0,0.6666666666666666,17,14,3
2,18,1.0,1.0,16,13,3
2,19,1.0,1.0,14,12,2
2,20,1.0,1.0,14,12,2
2,21,1.0,1.0,13,11,2
2,22,1.0,1.0,12,10,2
3,0,1.0,0.6666666666666666,30,24,6
3,1,1.0,0.8333333333333334,30,24,6
3,2,1.0,0.5,30,24,6
3,3,1.0,0.5,30,24,6
