layer,sentence,pn,split
0,0,26,train
0,0,68,train
0,0,715,train
0,0,309,train
0,0,827,train
0,0,768,train
0,0,62,train
0,0,145,train
0,0,804,train
0,0,819,train
0,0,324,train
0,0,215,train
0,0,295,train
0,0,339,train
0,0,960,train
0,0,37,train
0,0,119,train
0,0,288,train
0,0,877,train
0,0,972,test
0,0,212,test
0,0,700,test
0,0,277,test
0,0,59,test
0,1,26,train
0,1,68,train
0,1,715,train
0,1,309,train
0,1,827,train
0,1,768,train
0,1,62,train
0,1,145,train
0,1,804,train
0,1,819,train
0,1,324,train
0,1,215,train
0,1,295,train
0,1,339,train
0,1,960,train
0,1,37,train
0,1,119,train
0,1,288,train
0,1,877,train
0,1,972,test
0,1,212,test
0,1,700,test
0,1,277,test
0,1,59,test
0,2,26,train
0,2,68,train
0,2,715,train
0,2,309,train
0,2,827,train
0,2,768,train
0,2,62,train
0,2,145,train
0,2,804,train
0,2,819,train
0,2,324,train
0,2,215,train
0,2,295,train
0,2,339,train
0,2,960,train
0,2,37,train
0,2,119,train
0,2,288,train
0,2,877,train
0,2,972,test
0,2,212,test
0,2,700,test
0,2,277,test
0,2,59,test
0,3,26,train
0,3,68,train
0,3,715,train
0,3,309,train
0,3,827,train
0,3,768,train
0,3,62,train
0,3,145,train
0,3,804,train
0,3,819,train
0,3,324,train
0,3,215,train
0,3,295,train
0,3,339,train
0,3,960,train
0,3,37,train
0,3,119,train
0,3,288,train
0,3,877,train
0,3,972,test
0,3,212,test
0,3,700,test
0,3,277,test
0,3,59,test
0,4,26,train
0,4,68,train
0,4,715,train
0,4,309,train
0,4,827,train
0,4,768,train
0,4,62,train
0,4,145,train
0,4,804,train
0,4,819,train
0,4,324,train
0,4,215,train
0,4,295,train
0,4,339,train
0,4,960,train
0,4,37,train
0,4,119,train
0,4,288,train
0,4,877,train
0,4,972,test
0,4,212,test
0,4,700,test
0,4,277,test
0,4,59,test
0,5,26,train
0,5,68,train
0,5,715,train
0,5,309,train
0,5,827,train
0,5,768,train
0,5,62,train
0,5,145,train
0,5,804,train
0,5,819,train
0,5,324,train
0,5,215,train
0,5,295,train
0,5,339,train
0,5,960,train
0,5,37,train
0,5,119,train
0,5,288,train
0,5,877,train
0,5,972,test
0,5,212,test
0,5,700,test
0,5,277,test
0,5,59,test
0,6,68,train
0,6,715,train
0,6,119,train
0,6,827,train
0,6,768,train
0,6,62,train
0,6,309,train
0,6,804,train
0,6,819,train
0,6,288,train
0,6,215,train
0,6,324,train
0,6,339,train
0,6,960,train
0,6,37,train
0,6,145,train
0,6,295,train
0,6,877,train
0,6,212,test
0,6,26,test
0,6,700,test
0,6,972,test
0,6,277,test
0,7,68,train
0,7,715,train
0,7,119,train
0,7,827,train
0,7,768,train
0,7,62,train
0,7,309,train
0,7,804,train
0,7,819,train
0,7,288,train
0,7,215,train
0,7,324,train
0,7,339,train
0,7,960,train
0,7,37,train
0,7,145,train
0,7,295,train
0,7,877,train
0,7,212,test
0,7,26,test
0,7,700,test
0,7,972,test
0,7,277,test
0,8,68,train
0,8,715,train
0,8,119,train
0,8,827,train
0,8,768,train
0,8,62,train
0,8,309,train
0,8,804,train
0,8,819,train
0,8,288,train
0,8,215,train
0,8,324,train
0,8,339,train
0,8,960,train
0,8,37,train
0,8,145,train
0,8,295,train
0,8,877,train
0,8,212,test
0,8,26,test
0,8,700,test
0,8,972,test
0,8,277,test
0,9,827,train
0,9,324,train
0,9,62,train
0,9,804,train
0,9,819,train
0,9,277,train
0,9,68,train
0,9,288,train
0,9,215,train
0,9,768,train
0,9,26,train
0,9,339,train
0,9,960,train
0,9,37,train
0,9,145,train
0,9,295,train
0,9,877,train
0,9,700,test
0,9,119,test
0,9,972,test
0,9,715,test
0,9,212,test
0,10,827,train
0,10,324,train
0,10,62,train
0,10,804,train
0,10,819,train
0,10,277,train
0,10,68,train
0,10,288,train
0,10,215,train
0,10,768,train
0,10,26,train
0,10,339,train
0,10,960,train
0,10,37,train
0,10,145,train
0,10,295,train
0,10,877,train
0,10,700,test
0,10,119,test
0,10,972,test
0,10,715,test
0,10,212,test
0,11,827,train
0,11,324,train
0,11,62,train
0,11,804,train
0,11,819,train
0,11,277,train
0,11,68,train
0,11,288,train
0,11,215,train
0,11,768,train
0,11,26,train
0,11,339,train
0,11,960,train
0,11,37,train
0,11,145,train
0,11,295,train
0,11,877,train
0,11,700,test
0,11,119,test
0,11,972,test
0,11,715,test
0,11,212,test
0,12,827,train
0,12,324,train
0,12,62,train
0,12,804,train
0,12,819,train
0,12,277,train
0,12,68,train
0,12,288,train
0,12,215,train
0,12,768,train
0,12,26,train
0,12,339,train
0,12,960,train
0,12,37,train
0,12,145,train
0,12,295,train
0,12,877,train
0,12,700,test
0,12,119,test
0,12,972,test
0,12,715,test
0,12,212,test
0,13,804,train
0,13,212,train
0,13,295,train
0,13,288,train
0,13,119,train
0,13,768,train
0,13,37,train
0,13,339,train
0,13,819,train
0,13,145,train
0,13,972,train
0,13,68,train
0,13,215,train
0,13,960,train
0,13,700,test
0,13,715,test
0,13,26,test
0,13,877,test
0,14,215,train
0,14,145,train
0,14,26,train
0,14,68,train
0,14,768,train
0,14,295,train
0,14,819,train
0,14,972,train
0,14,119,train
0,14,212,train
0,14,804,train
0,14,960,train
0,14,700,test
0,14,715,test
0,14,877,test
0,14,288,test
0,15,288,train
0,15,960,train
0,15,68,train
0,15,768,train
0,15,715,train
0,15,295,train
0,15,877,train
0,15,26,train
0,15,212,train
0,15,819,train
0,15,972,train
0,15,119,test
0,15,215,test
0,15,700,test
0,16,119,train
0,16,972,train
0,16,768,train
0,16,715,train
0,16,295,train
0,16,877,train
0,16,68,train
0,16,215,train
0,16,819,train
0,16,26,train
0,16,288,test
0,16,212,test
0,16,700,test
0,17,119,train
0,17,972,train
0,17,768,train
0,17,715,train
0,17,295,train
0,17,877,train
0,17,68,train
0,17,819,train
0,17,26,train
0,17,288,test
0,17,212,test
0,17,700,test
0,18,119,train
0,18,972,train
0,18,768,train
0,18,715,train
0,18,295,train
0,18,877,train
0,18,68,train
0,18,819,train
0,18,26,train
0,18,288,test
0,18,212,test
0,18,700,test
0,19,26,train
0,19,700,train
0,19,212,train
0,19,819,train
0,19,295,train
0,19,972,train
0,19,877,train
0,19,119,train
0,19,288,test
0,19,715,test
1,0,26,train
1,0,68,train
1,0,715,train
1,0,309,train
1,0,827,train
1,0,768,train
1,0,62,train
1,0,145,train
1,0,804,train
1,0,819,train
1,0,324,train
